id,case_id,party_number,victim_role,victim_sex,victim_age,victim_degree_of_injury,victim_seating_position,victim_ejected
3392658,7053085,1,1,male,21,other visible injury,1,1
3392659,7053085,2,2,male,22,no injury,3,0
3392663,7053088,1,1,male,54,other visible injury,1,1
3392669,7053091,1,1,male,65,severe injury,1,1
3392670,7053091,2,2,female,17,no injury,3,0
3392688,7053103,1,1,male,22,severe injury,1,1
3392722,7053120,1,1,female,58,complaint of pain,1,0
3392723,7053120,2,1,female,18,complaint of pain,1,0
3392724,7053120,2,2,female,17,complaint of pain,2,0
3392799,7053161,2,1,male,62,complaint of pain,0,0
3392820,7053173,1,1,male,31,other visible injury,1,1
3392879,7053210,1,2,male,0,no injury,6,0
3392880,7053210,2,1,male,25,complaint of pain,9,1
3392885,7053213,2,1,male,23,other visible injury,1,0
3392919,7053233,1,1,male,35,complaint of pain,1,0
3392964,7053257,1,1,male,24,complaint of pain,1,0
3392965,7053257,2,2,male,51,complaint of pain,1,0
3392966,7053257,3,2,male,12,no injury,3,0
3392967,7053257,3,2,female,10,no injury,6,0
3392999,7053269,1,2,female,22,no injury,2,0
3393000,7053269,2,1,male,21,complaint of pain,1,0
3393015,7053276,1,1,female,37,other visible injury,1,3
3393105,7053458,1,1,male,36,complaint of pain,1,1
3393150,7053497,2,1,male,24,complaint of pain,1,0
3393203,7053527,1,2,male,20,no injury,3,0
3393204,7053527,2,1,male,27,other visible injury,1,1
3393238,7053543,1,1,male,50,other visible injury,1,1
3393239,7053543,3,3,male,44,other visible injury,9,0
3393294,7053572,2,1,male,68,complaint of pain,1,1
3393328,7053591,2,1,male,59,severe injury,1,1
3393382,7053619,1,2,female,80,no injury,3,0
3393383,7053619,2,1,male,32,severe injury,1,1
3393426,7053647,1,1,male,25,other visible injury,1,0
3393431,7053651,1,1,female,53,complaint of pain,1,0
3393432,7053651,1,2,male,,no injury,3,0
3393433,7053651,1,2,male,,no injury,6,0
3393434,7053651,2,1,female,43,complaint of pain,1,0
3393480,7053696,1,1,male,50,complaint of pain,1,0
3393482,7053698,1,2,female,,no injury,5,3
3393572,7053777,2,1,male,30,other visible injury,1,1
3393621,7053814,1,1,male,56,other visible injury,1,1
3393629,7053822,1,1,,51,complaint of pain,1,3
3393691,7053859,1,1,male,34,complaint of pain,1,0
3393692,7053859,2,2,female,90,no injury,3,0
3393693,7053860,1,1,male,19,other visible injury,1,1
3393714,7053872,2,2,female,51,complaint of pain,9,0
3393743,7053887,2,1,male,58,other visible injury,1,0
3393766,7053897,1,1,male,13,other visible injury,1,0
3393772,7053901,1,4,male,35,complaint of pain,1,0
3393773,7053901,2,2,female,17,no injury,3,3
3393774,7053902,2,1,male,64,other visible injury,1,1
3393775,7053902,2,2,male,12,other visible injury,0,1
3393792,7053913,1,1,male,30,complaint of pain,1,1
3393793,7053913,2,2,female,,no injury,3,0
3393799,7053917,3,1,,68,complaint of pain,1,3
3393815,7053934,1,1,male,54,other visible injury,1,1
3393817,7053936,1,1,male,38,complaint of pain,1,0
3393818,7053936,2,2,female,87,no injury,3,0
3393823,7053940,1,1,female,44,other visible injury,1,1
3393835,7053948,1,1,,38,other visible injury,1,2
3393944,7054047,1,1,male,40,other visible injury,1,1
3393946,7054050,1,1,male,23,other visible injury,1,1
3393947,7054051,1,1,male,25,severe injury,1,1
3393979,7054070,1,1,female,31,complaint of pain,1,1
3393980,7054070,2,2,male,38,no injury,3,0
3393981,7054070,2,2,female,0,no injury,5,0
3393996,7054079,1,1,male,21,other visible injury,1,1
3394003,7054085,2,1,male,36,severe injury,1,1
3394004,7054086,1,1,male,21,other visible injury,1,1
3394023,7054113,1,1,male,66,other visible injury,1,1
3394027,7054117,1,1,male,40,other visible injury,1,1
3394036,7054124,1,1,male,22,other visible injury,1,1
3394046,7054130,2,1,male,48,severe injury,1,1
3394049,7054133,1,1,male,47,other visible injury,1,1
3394060,7054141,1,1,male,31,complaint of pain,1,1
3394065,7054145,1,2,female,26,no injury,3,0
3394066,7054145,2,1,male,48,complaint of pain,1,0
3394088,7054169,2,1,male,45,other visible injury,1,1
3394126,7054193,1,1,male,46,severe injury,1,1
3394130,7054195,1,1,male,20,other visible injury,1,0
3394175,7054214,1,1,male,36,complaint of pain,1,1
3394176,7054215,1,2,male,46,no injury,3,3
3394177,7054215,2,1,male,21,complaint of pain,1,3
3394178,7054215,2,2,female,18,no injury,3,3
3394187,7054223,1,1,female,63,other visible injury,1,1
3394218,7054256,1,1,male,26,other visible injury,1,1
3394224,7054267,2,1,male,63,complaint of pain,1,0
3394233,7054275,1,1,male,23,other visible injury,1,3
3394237,7054277,2,1,male,58,complaint of pain,1,0
3394252,7054287,1,1,male,19,complaint of pain,1,1
3394253,7054287,2,2,male,46,no injury,3,0
3394265,7054303,1,1,male,58,complaint of pain,1,1
3394342,7054361,2,1,male,23,complaint of pain,1,1
3394356,7054378,1,1,male,50,complaint of pain,1,1
3394446,7054438,2,1,male,46,complaint of pain,1,0
3394461,7054447,1,1,male,31,other visible injury,1,1
3394501,7054479,1,1,male,34,other visible injury,1,1
3394505,7054481,1,2,female,18,no injury,3,0
3394506,7054481,2,1,male,48,severe injury,1,1
3394513,7054490,1,1,male,33,other visible injury,1,1
3394523,7054499,2,1,male,,other visible injury,1,3
3394586,7054576,2,1,male,38,other visible injury,1,2
3394599,7054598,1,1,male,22,other visible injury,1,1
3394629,7054616,1,1,male,25,other visible injury,1,1
3394630,7054616,2,2,female,72,no injury,3,0
3394646,7054634,2,1,male,62,other visible injury,1,2
3394665,7054663,1,1,male,51,other visible injury,1,1
3394693,7054680,1,1,male,25,severe injury,1,3
3394694,7054680,2,1,male,21,severe injury,1,3
3394699,7054683,2,1,male,29,severe injury,1,1
3394747,7054772,1,2,male,22,no injury,3,0
3394788,7054808,1,4,male,70,severe injury,0,0
3394794,7054822,1,1,male,51,complaint of pain,1,1
3394810,7054838,1,1,male,30,other visible injury,1,1
3394812,7054840,1,1,male,45,other visible injury,1,1
3394827,7054864,2,2,female,31,no injury,3,0
3394830,7054866,2,1,male,59,complaint of pain,1,0
3394874,7054907,1,2,male,26,no injury,3,3
3394875,7054907,2,1,male,38,other visible injury,1,3
3394896,7054923,2,1,female,55,complaint of pain,1,1
3394921,7054943,1,1,male,35,other visible injury,1,0
3394922,7054943,2,1,male,19,other visible injury,1,0
3394929,7054947,1,1,male,33,other visible injury,1,1
3394930,7054947,2,2,male,23,no injury,4,0
3394934,7054951,1,1,male,34,severe injury,1,1
3394995,7055001,1,1,male,53,severe injury,1,1
3394996,7055001,2,2,female,74,no injury,3,0
3395012,7055012,1,2,female,26,no injury,3,0
3395013,7055012,2,1,male,27,complaint of pain,1,0
3395039,7055034,1,1,male,27,other visible injury,1,1
3395087,7055088,1,2,female,69,no injury,3,0
3395088,7055088,2,1,male,55,other visible injury,1,1
3395092,7055091,1,1,male,31,other visible injury,1,0
3395100,7055101,1,1,male,29,other visible injury,1,3
3395139,7055130,2,1,male,34,other visible injury,1,1
3395170,7055162,1,1,male,56,severe injury,1,1
3395197,7055179,1,1,female,21,other visible injury,1,1
3395203,7055185,2,1,male,50,complaint of pain,1,0
3395252,7055215,2,1,male,47,severe injury,1,1
3395253,7055216,1,1,male,23,severe injury,1,1
3395273,7055233,1,1,male,63,severe injury,1,1
3395274,7055234,1,1,male,57,severe injury,1,1
3395276,7055236,1,1,male,32,complaint of pain,1,1
3395298,7055244,1,1,male,48,other visible injury,1,2
3395299,7055244,1,2,female,32,other visible injury,2,2
3395309,7055249,2,1,male,52,complaint of pain,1,0
3395310,7055249,2,2,female,32,no injury,6,0
3395339,7055280,1,1,male,43,other visible injury,1,1
3395403,7055328,1,1,male,21,other visible injury,1,1
3395422,7055339,1,1,male,30,complaint of pain,1,1
3395433,7055343,1,1,male,36,other visible injury,1,0
3395444,7055349,2,1,male,55,complaint of pain,1,0
3395445,7055349,2,2,female,51,complaint of pain,0,0
3395556,7055430,2,1,male,27,complaint of pain,1,3
3395566,7055435,1,1,male,73,other visible injury,1,1
3395610,7055472,1,1,male,26,complaint of pain,1,1
3395611,7055472,1,2,female,26,complaint of pain,2,1
3395615,7055476,1,1,male,30,complaint of pain,1,1
3395663,7055507,2,1,male,28,complaint of pain,1,1
3395696,7055533,1,1,male,41,other visible injury,1,1
3395697,7055533,2,2,male,52,no injury,3,0
3395701,7055535,2,1,male,22,complaint of pain,1,1
3395702,7055536,1,1,male,43,other visible injury,1,2
3395746,7055569,1,1,male,25,complaint of pain,1,0
3395747,7055569,2,1,male,26,other visible injury,1,1
3395748,7055570,1,1,male,18,severe injury,1,1
3395749,7055570,2,1,male,36,complaint of pain,1,0
3395755,7055572,1,1,male,25,severe injury,1,0
3395764,7055575,1,1,male,30,other visible injury,1,1
3395765,7055575,2,2,female,62,no injury,3,0
3395817,7055694,1,1,male,26,other visible injury,1,1
3395841,7055708,2,1,male,39,complaint of pain,1,0
3395842,7055709,1,1,male,32,other visible injury,1,0
3395849,7055713,2,1,male,52,complaint of pain,1,1
3395882,7055727,1,1,male,21,severe injury,1,1
3395898,7055737,2,1,male,23,other visible injury,1,1
3395912,7055743,1,2,male,0,no injury,3,0
3395913,7055743,1,2,male,9,no injury,4,0
3395914,7055743,1,2,male,9,no injury,5,0
3395915,7055743,1,2,female,4,no injury,7,0
3395916,7055743,2,1,male,53,other visible injury,1,1
3395962,7055842,1,1,female,30,complaint of pain,1,0
3395963,7055843,1,1,male,33,complaint of pain,1,1
3395971,7055849,1,1,male,28,other visible injury,1,1
3396001,7055896,2,1,male,24,other visible injury,1,0
3396003,7055898,1,1,male,39,complaint of pain,1,1
3396006,7055900,1,1,male,45,other visible injury,1,0
3396009,7055902,1,1,male,24,other visible injury,1,0
3396010,7055902,1,2,female,24,other visible injury,2,1
3396011,7055903,2,1,male,28,complaint of pain,1,0
3396013,7055908,1,1,male,63,complaint of pain,1,0
3396014,7055909,1,1,male,24,complaint of pain,1,1
3396015,7055910,1,1,male,18,other visible injury,1,1
3396071,7055947,1,1,,50,complaint of pain,1,0
3396072,7055948,1,1,male,39,other visible injury,1,1
3396086,7055956,2,1,male,22,other visible injury,1,1
3396095,7055962,2,1,male,35,other visible injury,1,1
3396131,7055978,2,1,male,24,other visible injury,1,1
3396135,7055985,2,1,male,24,complaint of pain,1,2
3396145,7055992,1,1,male,26,complaint of pain,1,1
3396193,7056025,2,1,male,27,other visible injury,1,3
3396249,7056078,2,1,,18,other visible injury,1,0
3396304,7056113,2,1,male,40,other visible injury,1,1
3396348,7056137,2,1,male,33,complaint of pain,1,1
3396349,7056137,3,2,male,20,no injury,3,0
3396350,7056137,3,2,male,22,no injury,6,0
3396441,7056219,2,1,male,24,complaint of pain,1,0
3396534,7056345,1,2,female,15,no injury,3,0
3396535,7056345,1,2,female,12,no injury,4,0
3396624,7056441,1,1,male,25,severe injury,1,2
3396628,7056444,1,1,male,24,complaint of pain,1,1
3396629,7056445,1,1,male,31,other visible injury,1,0
3396630,7056445,1,2,male,13,other visible injury,4,0
3396674,7056481,2,1,male,28,other visible injury,1,1
3396736,7056550,1,1,male,25,other visible injury,1,1
3396743,7056553,1,1,male,42,severe injury,1,0
3396744,7056553,2,1,male,42,severe injury,1,1
3396822,7056632,1,1,male,24,complaint of pain,1,1
3396823,7056632,2,2,female,25,no injury,4,0
3396824,7056632,2,2,female,25,no injury,6,0
3396884,7056729,1,1,male,17,complaint of pain,9,0
3396922,7056764,1,1,female,32,complaint of pain,1,0
3396923,7056764,1,2,male,8,complaint of pain,4,0
3396924,7056764,2,1,male,44,complaint of pain,1,0
3396925,7056764,2,2,female,11,no injury,6,0
3396996,7056827,1,1,male,24,other visible injury,1,1
3397002,7056831,1,2,female,16,no injury,3,0
3397003,7056831,2,1,male,45,severe injury,1,0
3397019,7056838,2,1,male,51,complaint of pain,1,0
3397058,7056860,2,1,male,20,complaint of pain,9,0
3397076,7056869,1,1,female,16,other visible injury,1,0
3397091,7056879,1,2,female,,severe injury,2,3
3397092,7056879,1,1,male,37,other visible injury,1,3
3397096,7056885,2,1,male,31,other visible injury,1,0
3397142,7056924,1,1,female,42,complaint of pain,1,1
3397228,7056976,3,1,male,46,complaint of pain,1,0
3397239,7056984,1,1,male,26,other visible injury,1,1
3397240,7056985,1,1,male,35,severe injury,1,1
3397241,7056986,2,1,male,26,complaint of pain,1,2
3397242,7056987,2,1,male,23,other visible injury,1,0
3397245,7056990,1,1,male,35,other visible injury,1,1
3397263,7057004,1,2,male,71,no injury,3,0
3397264,7057004,2,1,male,31,other visible injury,1,1
3397342,7057050,1,1,male,25,other visible injury,1,1
3397389,7057082,1,1,male,20,complaint of pain,1,0
3397423,7057105,1,1,male,30,severe injury,1,1
3397527,7057167,1,1,male,24,other visible injury,1,1
3397588,7057232,2,1,male,49,complaint of pain,1,1
3397608,7057252,2,1,female,36,other visible injury,1,0
3397636,7057274,1,1,male,63,complaint of pain,1,1
3397637,7057275,1,1,male,47,severe injury,1,1
3397638,7057275,1,2,female,18,severe injury,2,1
3397822,7057401,1,1,,31,other visible injury,1,1
3397900,7057454,1,1,male,26,other visible injury,1,1
3397922,7057473,2,1,male,69,complaint of pain,1,0
3397923,7057473,2,2,female,64,complaint of pain,3,0
3397924,7057473,2,2,female,15,no injury,4,0
3397925,7057473,2,2,female,15,no injury,6,0
3397929,7057478,1,1,male,23,complaint of pain,1,3
3397930,7057478,2,2,male,43,no injury,3,0
3397931,7057478,2,2,male,4,no injury,4,0
3397932,7057478,2,2,male,7,no injury,6,0
3397947,7057499,1,1,male,64,severe injury,1,1
3397995,7057552,1,1,male,25,complaint of pain,1,1
3398111,7057647,1,1,male,18,severe injury,3,2
3398152,7057672,1,1,male,20,other visible injury,1,1
3398222,7057745,1,1,male,31,other visible injury,1,2
3398344,7057861,2,1,male,24,severe injury,1,1
3398345,7057862,1,1,male,43,other visible injury,1,1
3398369,7057876,1,2,female,13,no injury,3,0
3398370,7057876,2,1,male,64,complaint of pain,1,1
3398405,7057894,2,1,male,44,other visible injury,1,1
3398417,7057898,1,1,male,57,complaint of pain,1,1
3398427,7057904,1,1,female,52,other visible injury,1,1
3398462,7057924,1,1,male,74,other visible injury,1,0
3398463,7057924,2,2,female,35,no injury,3,0
3398465,7057926,2,1,male,49,other visible injury,1,1
3398478,7057936,2,1,male,38,other visible injury,1,1
3398507,7057954,1,2,female,37,complaint of pain,3,0
3398508,7057954,1,2,male,5,other visible injury,6,0
3398509,7057954,2,1,male,45,severe injury,1,1
3398510,7057954,2,2,female,0,no injury,5,0
3398536,7057974,2,1,male,23,other visible injury,1,0
3398537,7057975,2,1,male,17,other visible injury,1,2
3398538,7057976,1,1,female,24,complaint of pain,1,1
3398610,7058029,2,1,male,54,other visible injury,1,2
3398615,7058033,1,1,male,25,severe injury,1,1
3398640,7058049,2,1,male,28,complaint of pain,1,1
3398694,7058099,1,1,male,21,severe injury,1,1
3398806,7058197,1,1,male,22,complaint of pain,1,0
3398834,7058242,1,1,male,55,complaint of pain,1,0
3398835,7058242,2,3,male,34,other visible injury,9,3
3398841,7058249,1,2,male,10,no injury,6,0
3398842,7058249,1,2,female,16,no injury,3,0
3398843,7058249,2,2,female,33,no injury,3,0
3398844,7058249,2,2,male,28,no injury,0,0
3398845,7058249,2,2,male,11,no injury,4,0
3398846,7058249,2,2,male,9,no injury,5,0
3398847,7058249,2,2,male,7,no injury,0,0
3398848,7058249,3,2,female,11,no injury,6,0
3398849,7058249,3,2,female,34,no injury,3,0
3398850,7058249,3,2,female,15,no injury,4,0
3398851,7058249,4,1,male,19,complaint of pain,1,2
3398947,7058335,1,1,male,22,other visible injury,1,1
3398966,7058349,2,1,male,39,complaint of pain,1,0
3398977,7058358,1,1,female,40,severe injury,1,1
3399007,7058381,2,1,male,25,complaint of pain,1,2
3399017,7058388,1,1,male,36,other visible injury,1,0
3399036,7058400,1,1,male,44,complaint of pain,1,1
3399107,7058451,1,1,female,66,complaint of pain,1,0
3399108,7058451,2,1,male,36,complaint of pain,1,1
3399120,7058457,2,1,male,62,other visible injury,1,0
3399139,7058463,1,1,male,45,severe injury,1,1
3399234,7058525,1,2,female,18,no injury,3,0
3399235,7058525,2,1,female,54,other visible injury,1,1
3399244,7058532,2,1,male,64,complaint of pain,9,3
3399263,7058543,1,1,male,25,other visible injury,1,1
3399277,7058551,1,1,male,24,complaint of pain,1,0
3399281,7058554,1,1,,22,other visible injury,1,1
3399293,7058558,1,1,male,21,other visible injury,1,0
3399294,7058559,2,1,male,31,other visible injury,1,1
3399319,7058576,1,2,female,21,no injury,3,0
3399320,7058576,2,1,male,26,complaint of pain,1,3
3399352,7058610,1,1,male,24,other visible injury,1,1
3399459,7058681,2,1,male,31,complaint of pain,1,0
3399469,7058685,1,1,male,39,other visible injury,1,1
3399470,7058685,2,2,female,82,no injury,3,0
3399471,7058685,2,2,female,75,no injury,6,0
3399484,7058693,1,1,male,6,other visible injury,1,1
3399499,7058701,1,1,male,34,other visible injury,1,3
3399500,7058701,2,1,female,62,complaint of pain,1,3
3399501,7058702,2,1,male,22,other visible injury,1,0
3399524,7058712,1,2,female,12,no injury,4,0
3399525,7058712,1,2,female,0,no injury,5,0
3399526,7058712,1,2,female,49,no injury,6,0
3399527,7058712,2,1,male,37,complaint of pain,1,1
3399543,7058730,1,1,male,31,other visible injury,1,1
3399549,7058733,1,1,male,23,other visible injury,1,1
3399552,7058735,1,1,male,21,complaint of pain,1,1
3399559,7058741,1,1,male,28,other visible injury,1,3
3399561,7058744,1,2,female,27,no injury,3,0
3399562,7058744,1,2,male,2,no injury,4,0
3399563,7058744,2,1,male,23,other visible injury,1,1
3399651,7058781,1,1,female,35,other visible injury,1,2
3399710,7058815,2,1,male,28,other visible injury,1,1
3399738,7058828,1,1,male,60,severe injury,1,1
3399739,7058828,2,2,male,18,no injury,3,0
3399740,7058828,2,2,female,18,no injury,6,0
3399749,7058832,1,1,male,46,complaint of pain,1,0
3399750,7058832,2,1,female,28,complaint of pain,1,0
3399751,7058832,2,2,female,4,no injury,4,0
3399763,7058840,1,2,female,26,other visible injury,2,1
3399764,7058840,1,1,male,32,other visible injury,1,1
3399791,7058858,1,1,male,21,complaint of pain,1,0
3399805,7058866,2,1,male,25,other visible injury,1,1
3399849,7058904,1,2,male,37,no injury,3,0
3399850,7058904,2,1,male,24,other visible injury,1,1
3399877,7058924,2,1,male,23,other visible injury,1,1
3399908,7058944,1,1,male,29,other visible injury,1,1
3399914,7058948,1,2,female,11,no injury,3,0
3399915,7058948,2,1,male,30,severe injury,1,1
3399934,7058958,1,2,female,33,no injury,3,0
3399935,7058958,2,1,male,32,complaint of pain,1,1
3399945,7058973,2,1,male,54,complaint of pain,1,0
3400006,7059031,1,2,male,27,no injury,3,0
3400007,7059031,1,2,female,22,no injury,4,0
3400008,7059031,1,2,male,25,no injury,5,0
3400009,7059031,2,1,male,47,other visible injury,1,1
3400018,7059043,2,1,male,57,severe injury,1,1
3400030,7059054,1,2,female,15,no injury,3,0
3400031,7059054,1,2,male,10,no injury,6,0
3400032,7059054,2,1,male,29,other visible injury,1,1
3400045,7059067,2,1,male,47,complaint of pain,1,1
3400131,7059157,2,1,male,26,complaint of pain,1,1
3400132,7059158,1,1,female,25,other visible injury,1,1
3400156,7059172,2,1,male,58,other visible injury,1,0
3400183,7059198,1,1,male,50,other visible injury,1,1
3400188,7059203,2,1,male,61,complaint of pain,1,0
3400192,7059210,1,1,male,56,complaint of pain,1,1
3400229,7059251,2,1,male,25,complaint of pain,1,0
3400255,7059287,2,1,male,36,other visible injury,1,2
3400273,7059301,1,2,female,41,no injury,3,0
3400274,7059301,2,1,male,49,other visible injury,1,0
3400312,7059313,1,1,male,30,other visible injury,1,0
3400313,7059313,2,2,male,41,no injury,3,0
3400314,7059314,1,1,male,34,complaint of pain,1,0
3400361,7059371,1,1,male,33,severe injury,1,1
3400392,7059389,2,1,,27,other visible injury,1,1
3400399,7059392,1,2,female,45,no injury,3,0
3400400,7059392,2,1,male,20,complaint of pain,1,0
3400481,7059465,1,1,male,26,other visible injury,1,1
3400505,7059476,1,1,male,22,other visible injury,1,1
3400513,7059481,1,1,male,27,other visible injury,1,1
3400531,7059502,2,1,male,27,complaint of pain,1,0
3400558,7059535,1,2,female,2,no injury,5,0
3400563,7059538,1,1,male,28,severe injury,1,1
3400576,7059549,1,2,female,4,no injury,4,0
3400577,7059549,2,1,male,29,complaint of pain,1,1
3400601,7059575,2,1,male,38,other visible injury,1,1
3400602,7059576,2,1,male,31,complaint of pain,9,3
3400633,7059594,2,1,,61,severe injury,1,3
3400700,7059643,2,2,female,28,no injury,2,0
3400711,7059654,1,2,female,40,complaint of pain,2,0
3400712,7059654,2,1,male,29,complaint of pain,1,1
3400713,7059655,1,1,male,16,severe injury,1,0
3400736,7059670,1,2,female,19,no injury,3,0
3400737,7059670,2,2,female,35,other visible injury,6,0
3400738,7059671,2,1,male,45,complaint of pain,1,0
3400808,7059734,1,1,female,32,complaint of pain,1,1
3400809,7059734,2,2,male,31,no injury,3,0
3400810,7059734,2,2,male,34,no injury,4,0
3400811,7059734,2,2,male,44,no injury,5,0
3400812,7059734,2,2,male,33,no injury,6,0
3400814,7059736,1,1,male,23,severe injury,1,1
3400841,7059755,2,1,male,51,other visible injury,1,1
3400842,7059755,2,2,female,50,other visible injury,0,1
3400910,7059802,2,1,female,36,other visible injury,1,1
3400918,7059810,1,1,male,50,other visible injury,1,1
3400919,7059811,1,1,female,45,other visible injury,1,1
3400963,7059850,2,1,male,27,complaint of pain,1,1
3400980,7059869,1,1,male,32,severe injury,1,0
3400992,7059875,1,1,male,54,complaint of pain,1,2
3401008,7059894,1,2,male,30,no injury,3,0
3401009,7059894,2,1,male,33,complaint of pain,1,1
3401010,7059894,3,1,female,22,other visible injury,1,0
3401028,7059905,1,1,male,20,other visible injury,1,1
3401030,7059907,1,1,male,22,severe injury,1,1
3401031,7059907,2,2,female,25,no injury,3,0
3401032,7059907,2,2,male,6,no injury,6,0
3401153,7060009,2,1,male,31,other visible injury,1,1
3401157,7060013,2,1,male,50,other visible injury,1,0
3401203,7060051,1,2,female,33,no injury,2,0
3401204,7060051,2,1,male,63,complaint of pain,1,2
3401294,7060124,2,1,male,66,other visible injury,1,1
3401300,7060129,1,1,male,26,severe injury,1,1
3401311,7060142,1,2,male,23,no injury,3,0
3401312,7060142,1,2,male,21,no injury,6,0
3401313,7060142,2,1,male,37,complaint of pain,1,1
3401390,7060199,1,1,male,27,other visible injury,1,1
3401431,7060249,1,1,male,21,complaint of pain,1,0
3401436,7060252,1,1,male,51,severe injury,1,1
3401460,7060283,2,2,male,4,no injury,5,0
3401474,7060304,1,1,male,54,other visible injury,1,0
3401475,7060304,2,2,,16,no injury,3,0
3401476,7060304,2,2,female,20,no injury,4,0
3401477,7060304,2,2,,2,no injury,5,0
3401540,7060380,2,1,male,33,severe injury,1,1
3401541,7060380,3,2,female,9,no injury,5,0
3401542,7060380,3,2,male,7,no injury,6,0
3401543,7060380,3,2,female,54,no injury,3,0
3401544,7060380,3,2,male,41,no injury,4,0
3401559,7060387,1,1,male,24,other visible injury,1,1
3401562,7060389,1,1,male,22,severe injury,1,1
3401563,7060389,2,2,male,16,no injury,3,0
3401564,7060389,3,2,female,49,no injury,3,0
3401608,7060416,1,1,female,24,complaint of pain,1,1
3401609,7060416,2,2,female,6,no injury,6,0
3401660,7060474,2,1,male,52,complaint of pain,9,3
3401663,7060477,1,1,male,,other visible injury,1,1
3401724,7060538,1,1,male,22,other visible injury,1,1
3401725,7060538,3,2,female,10,no injury,4,0
3401744,7060570,1,1,male,22,severe injury,1,1
3401745,7060571,1,1,male,28,other visible injury,1,1
3401808,7060655,1,1,male,29,severe injury,1,1
3401809,7060655,2,2,male,,complaint of pain,5,0
3401810,7060655,2,2,female,25,no injury,3,0
3401845,7060676,2,1,male,25,complaint of pain,1,0
3401881,7060700,1,1,male,32,complaint of pain,1,1
3401929,7060737,1,1,male,60,other visible injury,1,1
3401930,7060738,2,1,male,44,complaint of pain,1,2
3401941,7060754,1,1,female,27,complaint of pain,1,1
3401942,7060755,1,1,male,53,other visible injury,1,1
3401946,7060758,1,1,male,24,other visible injury,1,1
3401947,7060758,2,2,male,15,no injury,3,0
3401948,7060759,2,1,male,48,other visible injury,1,1
3402008,7060818,1,1,female,23,other visible injury,1,2
3402047,7060856,1,1,male,75,complaint of pain,1,0
3402051,7060861,1,2,male,23,no injury,3,0
3402052,7060861,2,1,male,35,complaint of pain,1,1
3402073,7060873,1,1,male,24,complaint of pain,1,0
3402074,7060873,1,2,female,,complaint of pain,3,0
3402075,7060873,1,2,male,22,no injury,4,0
3402076,7060873,2,1,male,31,complaint of pain,1,1
3402117,7060916,1,1,male,42,other visible injury,1,2
3402128,7060922,1,1,female,35,other visible injury,1,1
3402145,7060939,2,1,male,29,other visible injury,1,0
3402160,7060947,1,1,female,61,complaint of pain,1,1
3402211,7060976,1,1,male,20,complaint of pain,1,1
3402267,7061013,1,1,,52,other visible injury,9,0
3402268,7061013,2,1,,26,severe injury,9,1
3402289,7061034,2,1,male,42,other visible injury,1,1
3402313,7061065,1,1,male,26,severe injury,1,1
3402314,7061066,1,1,male,43,severe injury,1,1
3402326,7061074,1,2,male,69,no injury,3,0
3402327,7061074,1,2,female,68,no injury,6,0
3402328,7061074,2,1,male,59,severe injury,1,0
3402329,7061075,1,1,male,49,complaint of pain,1,0
3402401,7061182,2,1,male,44,severe injury,1,1
3402404,7061184,1,1,male,28,other visible injury,1,1
3402445,7061212,1,1,male,55,complaint of pain,1,0
3402472,7061247,1,1,male,26,complaint of pain,1,1
3402473,7061248,1,1,male,25,severe injury,1,1
3402474,7061248,2,2,female,67,no injury,3,0
3402514,7061277,1,1,male,22,other visible injury,1,0
3402561,7061316,2,1,male,58,complaint of pain,1,1
3402607,7061343,2,1,male,24,other visible injury,1,1
3402608,7061343,3,1,female,38,complaint of pain,1,0
3402611,7061346,2,1,male,24,other visible injury,1,1
3402680,7061409,1,1,male,52,other visible injury,1,1
3402703,7061423,1,1,male,23,other visible injury,1,0
3402704,7061423,2,2,female,20,no injury,3,0
3402706,7061425,1,1,male,30,other visible injury,1,1
3402707,7061426,1,1,male,40,other visible injury,1,1
3402776,7061465,2,1,male,21,severe injury,1,1
3402793,7061479,1,1,male,43,other visible injury,1,1
3402798,7061481,2,1,male,38,other visible injury,1,1
3402811,7061485,2,1,male,23,severe injury,1,1
3402819,7061491,1,2,female,23,other visible injury,2,1
3402820,7061491,2,2,female,26,no injury,3,0
3402821,7061491,2,2,male,29,no injury,4,0
3402822,7061491,2,2,female,17,no injury,6,0
3402845,7061506,1,1,male,24,other visible injury,1,3
3402846,7061506,1,2,female,26,other visible injury,2,3
3402920,7061587,1,2,female,21,no injury,3,0
3402921,7061587,2,1,male,53,complaint of pain,1,0
3402952,7061615,1,1,male,31,other visible injury,1,2
3402959,7061621,2,1,male,21,other visible injury,1,0
3402962,7061624,1,1,female,25,other visible injury,1,1
3402970,7061628,1,1,male,20,other visible injury,1,1
3402978,7061633,1,1,male,20,other visible injury,1,1
3402988,7061641,1,1,male,21,other visible injury,1,1
3403016,7061656,1,1,male,23,complaint of pain,1,1
3403031,7061668,1,1,male,38,severe injury,1,1
3403032,7061668,2,3,female,49,severe injury,9,3
3403045,7061693,1,1,male,45,other visible injury,1,1
3403085,7061714,1,1,male,35,complaint of pain,1,1
3403089,7061716,1,1,female,35,severe injury,1,1
3403106,7061724,1,1,male,24,other visible injury,1,1
3403119,7061732,2,1,male,29,other visible injury,1,1
3403128,7061739,1,1,male,26,severe injury,1,1
3403153,7061758,1,3,male,27,complaint of pain,0,0
3403154,7061758,2,1,male,26,complaint of pain,1,1
3403178,7061777,1,1,male,59,other visible injury,1,1
